k¹t podniesienia,kat boczny,wysokosc celu,opor powietrza,wektor wiatru,wylotowa,X,Z
44.96210631556628,65.00306644375061,0,0.1,"[0, 0, 0]",1100,23000.461551845463,49329.39707057594
41.200936188354575,-28.444366145142517,0,0.1,"[0, 0, 0]",1100,48523.73631937061,-26284.384443876617
3.1903625732097907,-11.533517542418082,0,0.1,"[0, 0, 0]",1100,11819.066269011779,-2411.586184503968
23.776520532618274,31.280698871175417,0,0.1,"[0, 0, 0]",1100,42084.61997867831,25567.828596312345
59.15424118604066,27.747954017611406,0,0.1,"[0, 0, 0]",1100,40549.074127621396,21331.525105475208
22.143718889431124,-77.02396718744298,0,0.1,"[0, 0, 0]",1100,10727.715288597128,-46551.213745068984
60.10721186396846,-51.82088302742923,0,0.1,"[0, 0, 0]",1100,27770.66308914018,-35315.24162915091
64.1800229092832,15.145883865079298,0,0.1,"[0, 0, 0]",1100,39279.122658465996,10631.803058156602
20.89804643719316,89.13394414062361,0,0.1,"[0, 0, 0]",1100,704.2180930556642,46519.35523882994
2.6752450701758415,89.6910042058187,0,0.1,"[0, 0, 0]",1100,56.67618968874419,10323.69961677986
52.41538508120724,14.48608185135599,0,0.1,"[0, 0, 0]",1100,49389.97096837357,12760.057297299063
13.114438995687422,23.90450474931467,0,0.1,"[0, 0, 0]",1100,32833.56793765637,14552.4798475022
22.06068613719021,-23.36943704759787,0,0.1,"[0, 0, 0]",1100,43780.24235773228,-18917.239969138303
15.77860281869237,-18.805512178656045,0,0.1,"[0, 0, 0]",1100,38004.78121414478,-12941.516889265424
11.237325064567198,36.719824349358944,0,0.1,"[0, 0, 0]",1100,26039.367331214067,19422.41919322662
56.81975881666788,-53.54600599622105,0,0.1,"[0, 0, 0]",1100,28424.621155648285,-38476.37655712566
36.97353939580223,-11.088126386236738,0,0.1,"[0, 0, 0]",1100,54194.44086854323,-10620.500525208725
20.28425864203584,-53.261037376165746,0,0.1,"[0, 0, 0]",1100,27438.53598531629,-36757.78542083836
72.03963778246343,11.850251805652661,0,0.1,"[0, 0, 0]",1100,29979.973852883937,6290.379858219034
15.755869878733762,77.59892568042346,0,0.1,"[0, 0, 0]",1100,8615.550756150415,39177.7211389704
42.73302014526062,-16.530801369961594,0,0.1,"[0, 0, 0]",1100,52686.15351486014,-15636.739204612613
88.84908951005686,-18.73255405369386,0,0.1,"[0, 0, 0]",1100,2047.3095988049276,-693.9319570411577
15.056313454406755,80.45897403648368,0,0.1,"[0, 0, 0]",1100,6476.518300742716,38526.68388302677
18.094165675597125,-86.44565150602313,0,0.1,"[0, 0, 0]",1100,2685.1317197163853,-43211.99405233908
81.11527525080275,-59.617787245798986,0,0.1,"[0, 0, 0]",1100,8199.493564972641,-13983.916553158851
62.692970240702365,-31.667727785617558,0,0.1,"[0, 0, 0]",1100,36017.37491424395,-22215.961058255718
71.68962670064634,67.5774760697077,0,0.1,"[0, 0, 0]",1100,11875.275099851195,28777.036090944915
20.583047270625016,46.63888171146425,0,0.1,"[0, 0, 0]",1100,31715.96234870682,33583.25439180257
39.115168793485736,-85.17442712394106,0,0.1,"[0, 0, 0]",1100,4654.138857422761,-55117.651364722624
66.82992436704384,60.372693365626134,0,0.1,"[0, 0, 0]",1100,18575.0284874552,32659.95078166111
1.9759363709926625,-41.62293159686328,0,0.1,"[0, 0, 0]",1100,5871.348590011983,-5216.117825874292
58.69198598711136,80.35370050351935,0,0.1,"[0, 0, 0]",1100,7748.420452048515,45581.46743715596
88.55809187477348,-74.75420088854264,0,0.1,"[0, 0, 0]",1100,712.5872281402587,-2610.8123309483367
33.93014182094224,-74.13945047274844,0,0.1,"[0, 0, 0]",1100,14949.811708206233,-52615.25602625368
19.83317258518131,45.51862010694322,0,0.1,"[0, 0, 0]",1100,31790.329684551813,32370.092798467736
4.1688071266242135,7.186295168212027,0,0.1,"[0, 0, 0]",1100,15066.189765427078,1899.5151513778192
15.698745540368304,38.350441756581745,0,0.1,"[0, 0, 0]",1100,31393.65154999069,24837.328450710847
32.8773407804104,-4.848093119151329,0,0.1,"[0, 0, 0]",1100,54209.93461824356,-4597.826041889025
63.0115877752615,-22.957710638772966,0,0.1,"[0, 0, 0]",1100,38652.62989922862,-16372.79734594556
5.494127033098741,11.323317037683708,0,0.1,"[0, 0, 0]",1100,18708.079522069667,3745.9609811092523
42.99600048333896,7.258479987055708,0,0.1,"[0, 0, 0]",1100,54467.3670145263,6937.188890002878
50.37712862610255,40.48157250414249,0,0.1,"[0, 0, 0]",1100,39699.35532068614,33883.52325992611
1.6820272002651582,-29.571625499624695,0,0.1,"[0, 0, 0]",1100,5892.899153886346,-3343.160751191786
23.972529803349033,89.02872640710771,0,0.1,"[0, 0, 0]",1100,838.4893961185624,49399.069056744826
45.46010662886198,-58.34761004251513,0,0.1,"[0, 0, 0]",1100,28484.080052134064,-46203.27747314361
73.22759046206689,-52.63321478732601,0,0.1,"[0, 0, 0]",1100,17543.86679558031,-22972.446123510443
34.13893402516459,81.32967681274624,0,0.1,"[0, 0, 0]",1100,8254.419573482246,54123.81553273302
18.432785980186654,-40.92683291080989,0,0.1,"[0, 0, 0]",1100,33032.243815830036,-28639.607258086162
14.456816997619118,37.19744655502613,0,0.1,"[0, 0, 0]",1100,30376.408866666374,23054.056659512935
52.91871254900539,43.75118434202835,0,0.1,"[0, 0, 0]",1100,36617.39587158922,35054.02392846851
60.71536316350888,56.66631940912259,0,0.1,"[0, 0, 0]",1100,24365.004087537018,37043.17953907616
19.964914803035278,38.09561141039737,0,0.1,"[0, 0, 0]",1100,35822.02903201006,28082.844192600463
60.78670134871846,-70.54196792104183,0,0.1,"[0, 0, 0]",1100,14747.164890799495,-41738.496131346554
64.83008516003413,-29.33713879345182,0,0.1,"[0, 0, 0]",1100,34829.77206640887,-19574.64184205118
21.25268966180856,-85.03129936373195,0,0.1,"[0, 0, 0]",1100,4062.2905681361844,-46714.630860462516
11.445640992863487,-87.3801703144675,0,0.1,"[0, 0, 0]",1100,1504.1148920076587,-32850.21929651322
75.85146970712944,11.071989910022154,0,0.1,"[0, 0, 0]",1100,24448.11836559087,4783.923675725582
